artistName,trackName,sPlayed,count,genres,trackId,duration,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,kmeans
Alter Bridge,Broken Wings,1530,6,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",7ePjtuqKqa0ZbzznCNqiEf,306600.0,0.449,0.00656,0.72,6.84e-05,0.127,0.114,-5.382,0.0355,138.482,10.0,4.0,0
Alter Bridge,In Loving Memory,1515,6,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",0T9tbj6zsRKLiUx06sbOWX,340106.0,0.304,0.00749,0.637,6.44e-05,0.216,0.174,-5.922,0.0334,140.498,6.0,4.0,0
Avatar,Tower,3767,10,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'nu metal', 'swedish melodeath']",7qLzuTvbIbgdu6RCRRnt5b,364000.0,0.358,0.0744,0.442,0.0862,0.259,0.208,-9.785,0.0298,142.662,4.0,4.0,0
Black Sabbath,War Pigs,832,4,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",0W35nxtHtFlseSojmygEsf,474400.0,0.464,0.116,0.612,0.00559,0.171,0.496,-12.019,0.0591,91.499,9.0,4.0,0
Blind Guardian,The Bard's Song - In the Forest - Remastered 2007,13755,80,"['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'speed metal', 'symphonic metal']",7xPGvZaG9W7UOrCgEwbONe,189893.0,0.396,0.846,0.415,4.38e-05,0.141,0.38,-7.56,0.0283,81.778,8.0,3.0,0
Christopher Lee,Dawning of a New Age,996,5,"['comic metal', 'middle earth']",4uvSwmWWYwCnFJhM386VFz,280292.0,0.477,0.0159,0.61,0.0471,0.115,0.282,-10.788,0.0337,110.104,10.0,4.0,0
Christopher Lee,The Portent,1682,9,"['comic metal', 'middle earth']",4q2kt7JQj4R2XIEiP9AR3F,268910.0,0.468,0.000741,0.582,0.0127,0.117,0.365,-8.717,0.0456,119.042,2.0,4.0,0
Death,Voice of the Soul,1142,8,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'hard rock', 'metal', 'rock', 'technical death metal']",69Yia3qCLw6N9U80WhLwLn,223933.0,0.158,0.000926,0.572,0.893,0.144,0.347,-6.293,0.0346,79.176,7.0,3.0,0
Deep Purple,Soldier Of Fortune - 2009 Digital Remaster,1224,6,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']",60ifqqPhbselSwXyGrGyMK,204880.0,0.533,0.386,0.313,4.64e-06,0.0868,0.225,-13.007,0.0298,133.615,2.0,4.0,0
Deep Purple,When A Blind Man Cries - Non Album B-Side;2012 - Remaster,417,4,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']",0JtcFIgrkSagrM5JdFakeO,209246.0,0.52,0.843,0.274,0.0165,0.0724,0.222,-10.661,0.0363,64.21,11.0,4.0,0
Diablo Swing Orchestra,Gunpowder Chant,1321,13,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",4iTKyzPIsBXEBKQSbROgrE,110800.0,0.227,0.255,0.623,0.499,0.42,0.121,-8.41,0.0367,82.03,0.0,4.0,0
Diablo Swing Orchestra,Justice For Saint Mary,1973,4,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",7adBRGDsGBM8JXpb929y98,497253.0,0.511,0.167,0.673,0.345,0.118,0.306,-5.909,0.0385,124.94,7.0,4.0,0
Diablo Swing Orchestra,Qualms Of Conscience,532,7,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",1mRm8ZDTs8AGnW60rAVKjw,76133.0,0.535,0.952,0.0905,0.727,0.105,0.402,-16.392,0.0733,135.976,2.0,1.0,0
Diablo Swing Orchestra,Rag Doll Physics,1864,8,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",7HeZ7jVtRt3Gsx80x9nQer,233026.0,0.352,0.012,0.689,0.000598,0.107,0.343,-7.5,0.0541,105.591,7.0,4.0,0
Gojira,Fortitude,1143,9,"['alternative metal', 'french death metal', 'french metal', 'metal', 'nu metal', 'progressive groove metal']",7kZkDEYLQ7eBgiPlzhBtGI,127578.0,0.862,0.109,0.266,0.941,0.112,0.507,-10.534,0.0369,129.925,8.0,4.0,0
Insomnium,The Conjurer,2315,6,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal']",3ZfbOiJ3gLDgYCftYVDl5i,445281.0,0.427,7.28e-05,0.699,0.502,0.153,0.153,-8.275,0.0363,115.001,7.0,4.0,0
Iron Maiden,Wasting Love - 2015 Remaster,2151,7,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",2KKLuHN6zDxVnWtFKO8vo4,351026.0,0.324,0.00562,0.667,3.56e-05,0.0873,0.29,-5.373,0.0321,142.503,4.0,4.0,0
Metallica,Nothing Else Matters,6113,16,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",0nLiqZ6A27jJri2VCalIUs,388266.0,0.553,0.0458,0.362,6.01e-06,0.075,0.158,-11.218,0.0263,142.352,4.0,3.0,0
Metallica,The Unforgiven,3108,9,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",4aYLAF6ckQ5ooGGGM7sWAa,386493.0,0.54,0.0108,0.584,0.00296,0.253,0.244,-9.579,0.0254,139.261,7.0,4.0,0
Miracle Of Sound,Ode to Fury,1519,7,"['antiviral pop', 'comic', 'irish metal', 'otacore', 'video game music']",2Nfl9Z37KVuVtao3utRNjc,217855.0,0.421,0.225,0.675,0.0259,0.198,0.694,-7.151,0.0358,183.783,4.0,3.0,0
Opeth,In My Time of Need,1063,5,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']",3WtsQAngIkmcNeqVeK3fXQ,346733.0,0.471,0.00161,0.604,0.154,0.166,0.187,-6.014,0.0286,137.388,4.0,4.0,0
Opeth,Soldier of Fortune,831,5,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']",0TN3CFZuYzAWQCV9N3pVPN,208520.0,0.475,0.595,0.385,0.000267,0.131,0.183,-8.675,0.0317,134.368,7.0,4.0,0
Opeth,Will O the Wisp,1228,4,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']",7KEkS7cnnRcEm95Q3Ctk3N,307786.0,0.193,0.317,0.374,0.0015,0.148,0.227,-12.247,0.0323,63.353,2.0,4.0,0
Rainbow,The Temple Of The King,1129,5,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",0gaMmmhGi5buPXpquSAfxg,282013.0,0.486,0.445,0.487,1.44e-05,0.0648,0.373,-11.633,0.0341,81.972,9.0,4.0,0
Rammstein,ROSENROT,1404,6,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",50LmbBKCBeDRKYvpR7ApjG,234706.0,0.591,0.00144,0.629,0.431,0.0705,0.183,-5.584,0.0273,114.072,8.0,4.0,0
